429 416 1462
287 458 1698
288 436 1709
466 343 1374
314 390 1662
288 401 1709
282 405 1725
294 380 1693
326 361 1641
411 329 1530
366 337 1567
404 321 1531
314 349 1666
308 352 1676
268 339 1742
240 349 1793
454 270 1424
412 280 1478
295 314 1698
301 303 1686
282 309 1721
269 297 1749
261 298 1754
469 221 1385
294 262 1694
275 259 1730
233 271 1808
390 199 1537
466 171 1374
449 168 1407
260 209 1747
254 212 1768
476 154 1346
389 168 1535
289 188 1714
432 152 1448
458 137 1374
393 151 1519
505 115 1284
283 147 1730
232 153 1803
372 124 1557
367 125 1568
331 130 1627
247 142 1778
460 101 1359
395 112 1497
375 115 1537
338 121 1620
217 136 1824
474 85 1321
326 106 1642
391 83 1512
343 88 1603
408 65 1463
308 67 1675
449 47 1365
380 53 1526
420 42 1430
319 49 1647
500 24 1239
311 32 1646
306 33 1665
390 22 1479
462 13 1325
448 13 1364
469 6 1326
422 7 1413
507 -6 1211
462 -6 1326
432 -6 1376
395 -14 1468
355 -15 1552
384 -22 1484
380 -22 1498
394 -29 1467
251 -43 1747
315 -48 1627
264 -60 1716
385 -65 1459
421 -69 1387
367 -75 1505
284 -84 1683
491 -66 1217
381 -81 1473
336 -86 1571
289 -91 1665
277 -93 1694
325 -95 1597
301 -98 1636
283 -100 1678
276 -101 1687
427 -88 1361
334 -101 1561
319 -104 1603
349 -106 1527
453 -96 1281
446 -97 1298
373 -110 1471
364 -111 1492
317 -119 1595
270 -127 1701
382 -115 1447
269 -143 1693
367 -132 1474
268 -151 1685
432 -126 1333
379 -136 1436
326 -148 1560
418 -135 1354
309 -159 1597
379 -151 1439
379 -158 1438
346 -174 1513
405 -165 1380
329 -192 1538
277 -205 1640
407 -184 1363
381 -198 1417
338 -211 1511
417 -205 1328
395 -211 1366
368 -220 1422
334 -246 1492
295 -258 1566
398 -230 1355
279 -272 1604
418 -229 1310
338 -258 1477
444 -225 1255
283 -284 1581
428 -237 1284
432 -245 1257
340 -283 1454
452 -245 1225
303 -312 1523
332 -311 1451
409 -286 1303
401 -290 1321
375 -301 1369
317 -326 1483
408 -292 1299
254 -359 1599
283 -354 1539
316 -355 1479
287 -372 1518
281 -375 1531
425 -334 1238
344 442 1610
367 416 1571
376 393 1542
405 377 1508
478 335 1370
326 402 1641
489 322 1345
288 401 1709
320 380 1653
288 384 1709
389 337 1534
486 287 1336
418 322 1499
337 347 1616
425 304 1448
421 299 1459
332 334 1629
479 263 1353
449 278 1430
465 264 1394
392 280 1514
351 296 1603
233 335 1813
274 310 1727
500 217 1320
201 286 1845
489 198 1325
475 204 1362
461 193 1382
458 188 1393
387 205 1525
444 184 1416
476 168 1347
474 169 1359
442 175 1407
406 178 1484
404 180 1504
193 204 1858
455 145 1385
405 155 1481
439 142 1422
387 152 1526
472 114 1352
442 119 1408
367 133 1571
232 153 1803
391 120 1511
423 107 1439
365 117 1563
361 118 1576
289 128 1715
460 95 1357
344 112 1609
274 112 1729
478 78 1315
355 95 1585
344 96 1611
477 72 1312
430 77 1417
439 69 1398
427 71 1430
342 79 1598
408 65 1463
461 53 1341
457 54 1350
380 53 1526
336 56 1607
