26.35,5.39,67.87
26.06,7.86,67.64
25.9,7.51,67.31
0.72,0.2,1.89
26.2,6.97,68.23
1.42,0.29,3.72
1.46,0.28,3.83
1.61,0.29,4.23
2.47,0.39,6.48
25,7.33,65.98
25.15,7.08,66.47
0.65,0.17,1.73
0.72,0.18,1.91
1.01,0.24,2.69
1.22,0.28,3.23
25.58,5.66,67.92
1.29,0.27,3.43
1.38,0.27,3.68
1.69,0.27,4.52
24.35,7.82,65.14
0.59,0.18,1.58
24.89,7.39,66.74
25.47,6.94,68.45
0.86,0.21,2.33
1.19,0.28,3.21
1.46,0.31,3.95
2.07,0.34,5.62
2.11,0.32,5.72
24.57,7.99,66.8
24.91,7.18,67.93
0.85,0.22,2.34
25.2,6.34,68.93
0.97,0.23,2.66
1.22,0.27,3.35
1.4,0.3,3.83
1.04,0.21,2.87
2.03,0.38,5.57
2.5,0.41,6.88
2.62,0.4,7.23
2.19,0.3,6.02
22.75,9.75,62.15
24.39,8.33,67.27
24.43,8.04,67.48
24.37,7.72,67.38
24.45,7.44,67.66
24.49,7.15,67.85
0.69,0.19,1.92
24.71,6.6,68.59
24.8,6.31,68.92
1.33,0.32,3.72
1.31,0.3,3.65
24.79,5.39,69.06
1.12,0.21,3.14
2.09,0.35,5.83
2.33,0.36,6.52
2.53,0.36,7.09
22.38,9.43,62.22
17.44,6.69,48.71
24.04,7.71,67.53
24.09,7.42,67.75
24.16,7.14,68.01
24.34,6.88,68.58
24.26,6.56,68.41
0.75,0.19,2.14
1.44,0.35,4.06
24.44,5.07,69.22
1.78,0.34,5.05
1.84,0.33,5.23
2.25,0.38,6.4
2.39,0.37,6.79
2.75,0.32,7.82
21.98,9.66,62.01
21.9,9.34,61.89
23.59,7.96,67.27
23.47,7.62,67
23.87,7.45,68.21
23.74,7.1,67.9
0.54,0.15,1.56
23.62,6.47,67.71
0.84,0.18,2.43
0.68,0.14,1.97
1.76,0.34,5.08
1.24,0.23,3.59
1.85,0.31,5.35
21.82,9.99,62.48
21.84,9.72,62.63
21.87,9.45,62.81
0.25,0.08,0.75
23.66,7.48,68.71
23.57,7.14,68.53
0.44,0.12,1.28
0.74,0.16,2.16
1.67,0.33,4.89
2.08,0.38,6.09
2.14,0.37,6.27
2.95,0.47,8.67
21.14,10.09,61.45
21.4,9.93,62.28
21.15,9.54,61.65
21.69,9.5,63.33
22.93,7.64,67.63
22.76,7.29,67.18
22.86,7.02,67.53
23.05,6.78,68.17
0.52,0.14,1.56
22.97,5.85,68.12
0.58,0.14,1.73
0.78,0.16,2.33
2.76,0.41,8.24
4.45,0.61,13.29
4.47,0.43,13.36
6.15,0.52,18.38
21.11,9.92,62.45
21.16,9.67,62.71
22.52,7.3,67.55
22.47,6.99,67.47
21.88,6.52,65.77
22.64,6.44,68.12
1.3,0.3,3.94
22.85,4.99,69.01
5.24,0.86,15.88
5.9,0.9,17.89
6.12,0.85,18.54
6.13,0.77,18.6
5.67,0.63,17.2
5.96,0.59,18.08
5.94,0.51,18.03
6.06,0.44,18.39
20.47,10.03,61.49
20.65,9.84,62.12
20.92,9.69,63.03
20.51,9.22,61.87
22.15,7.28,67.54
22.2,7,67.76
0.85,0.2,2.61
0.63,0.13,1.93
5.51,1.07,16.96
5.14,0.93,15.81
5.97,1,18.39
6.03,0.93,18.56
5.92,0.75,18.25
6.03,0.68,18.58
5.91,0.59,18.23
5.91,0.51,18.23
20.19,10.3,61.57
19.98,9.92,61.02
20.36,9.83,62.28
20.46,9.6,62.69
21.85,6.98,67.82
21.75,6.65,67.56
22.32,5.31,69.61
5.84,1.07,18.27
5.85,0.99,18.32
6.09,0.95,19.07
5.91,0.84,18.51
5.8,0.59,18.18
19.79,9.96,61.46
20.02,9.8,62.28
19.12,9.1,59.56
6.24,1.24,19.84
5.83,1.08,18.54
5.83,1,18.55
5.76,0.91,18.35
19.49,9.95,61.57
19.63,9.74,62.1
20.33,8.38,64.82
5.59,1.21,18.06
5.81,1.18,18.8
5.76,1.08,18.63
5.61,0.98,18.15
5.84,0.93,18.9
5.71,0.83,18.5
19.21,9.67,61.8
20.22,8.17,65.67
16.45,5.71,53.64
1.05,0.29,3.46
5.95,1.39,19.54
5.69,1.25,18.68
5.68,1.16,18.66
5.67,1.08,18.64
5.51,0.97,18.12
5.64,0.92,18.58
5.62,0.83,18.51
5.59,0.75,18.41
5.57,0.67,18.35
5.49,0.58,18.11
5.5,0.5,18.13
14.95,7.85,48.87
19.27,8.45,63.49
19.42,7.96,64.16
20.97,6.48,69.75
20.39,6.01,67.88
0.65,0.18,2.18
5.64,1.34,18.84
5.57,1.24,18.61
5.58,1.16,18.64
5.49,1.06,18.36
5.49,0.98,18.39
6,0.99,20.09
5.46,0.82,18.3
5.47,0.74,18.32
5.47,0.66,18.33
5.42,0.58,18.19
5.39,0.5,18.07
5.1,0.4,17.12
19.27,8.58,64.59
19.45,8.37,65.29
19.58,8.14,65.81
19.53,7.84,65.69
0.75,0.23,2.55
5.97,1.52,20.26
5.53,1.33,18.79
5.41,1.22,18.4
5.49,1.16,18.67
5.49,1.08,18.67
5.52,1,18.79
5.51,0.92,18.76
5.56,0.85,18.95
5.41,0.75,18.46
5.3,0.65,18.09
5.37,0.58,18.33
5.3,0.5,18.09
5.35,0.43,18.27
5.27,0.34,18
18.74,8.46,63.93
19.4,8.48,66.26
19.35,8.17,66.18
19.14,7.79,65.52
5.8,1.59,20.02
5.46,1.41,18.87
5.68,1.38,19.64
5.41,1.24,18.71
5.4,1.16,18.68
5.33,1.06,18.45
5.46,1.01,18.9
5.53,0.94,19.15
5.66,0.88,19.63
5.22,0.73,18.11
5.24,0.66,18.19
5.27,0.58,18.28
5.22,0.5,18.12
5.13,0.41,17.8
5.31,0.35,18.45
13.5,7.41,46.5
17.58,8.33,60.97
18.93,8.68,65.72
18.82,8.35,65.43
19.3,8.27,67.15
19.25,7.96,67.07
19.53,7.78,68.12
5.4,1.5,18.99
5.45,1.43,19.16
5.32,1.32,18.71
5.3,1.23,18.65
5.29,1.15,18.63
5.28,1.07,18.62
5.36,1,18.9
5.28,0.91,18.62
5.23,0.82,18.45
5.2,0.74,18.37
5.16,0.66,18.23
5.13,0.57,18.11
5.17,0.5,18.27
5.01,0.41,17.72
5.15,0.34,18.2
17.87,8.59,63.09
18.01,8.38,63.65
18.24,8.21,64.54
18.66,8.11,66.08
19.17,8.05,67.98
18.84,7.62,66.88
16.59,6.2,58.99
5.54,1.65,19.79
5.37,1.51,19.2
5.4,1.44,19.33
5.16,1.3,18.47
5.2,1.23,18.63
5.21,1.15,18.67
5.19,1.07,18.61
5.08,0.97,18.23
5.29,0.93,19
5.12,0.82,18.4
5.07,0.73,18.22
5.11,0.66,18.36
5.05,0.57,18.16
5.11,0.5,18.36
4.96,0.41,17.82
12.49,6.68,44.71
12.25,6.36,43.92
17.92,8.75,64.38
17.95,8.49,64.59
17.95,8.21,64.66
18.45,8.15,66.54
18.62,7.94,67.22
18.52,7.61,66.92
18.44,7.29,66.68
5.23,1.58,19.02
5.2,1.49,18.91
5.35,1.45,19.48
5.19,1.32,18.91
5.06,1.21,18.46
5.06,1.13,18.45
5.1,1.06,18.61
5.01,0.97,18.31
4.99,0.89,18.24
4.93,0.8,18.02
4.99,0.73,18.26
5.04,0.66,18.45
4.99,0.58,18.24
5.02,0.5,18.37
17.43,8.64,63.77
17.45,8.38,63.92
18.02,8.37,66.08
17.95,8.05,65.91
18.23,7.89,67.02
5.21,1.68,19.27
5.5,1.69,20.39
5.13,1.49,19.02
5.03,1.38,18.66
5,1.29,18.54
4.99,1.21,18.53
4.9,1.11,18.2
4.94,1.05,18.36
4.89,0.96,18.19
4.9,0.88,18.23
4.83,0.8,17.99
4.93,0.73,18.34
4.92,0.65,18.34
4.93,0.58,18.37
4.86,0.49,18.12
16.47,9.88,60.88
17.47,8.52,65.18
17.62,8.32,65.83
17.6,8.02,65.82
17.53,7.71,65.63
17.87,7.57,66.97
5.21,1.71,19.64
5.03,1.57,18.97
5,1.48,18.87
4.97,1.39,18.76
4.91,1.29,18.54
4.9,1.21,18.53
4.88,1.13,18.47
4.87,1.05,18.42
4.82,0.96,18.25
4.84,0.89,18.34
4.83,0.81,18.29
4.77,0.72,18.09
4.84,0.65,18.34
4.83,0.58,18.33
17.13,8.49,65.09
16.76,8.03,63.75
17.06,7.9,64.97
17.33,7.75,66.09
0.52,0.19,1.99
5.21,1.73,20.02
4.89,1.55,18.78
5.28,1.58,20.28
5.32,1.51,20.45
4.81,1.29,18.52
4.83,1.21,18.6
4.8,1.13,18.49
4.78,1.05,18.43
4.9,0.99,18.92
4.77,0.89,18.39
4.7,0.8,18.15
4.71,0.72,18.18
4.76,0.65,18.37
16.87,8.22,65.41
16.91,7.96,65.61
18.08,8.21,70.23
0.7,0.28,2.74
4.89,1.73,19.1
4.81,1.62,18.79
4.85,1.56,18.99
4.82,1.47,18.89
4.78,1.38,18.73
4.74,1.29,18.57
4.73,1.21,18.57
4.7,1.12,18.46
4.73,1.05,18.58
4.9,1.01,19.27
4.69,0.89,18.43
4.6,0.79,18.09
4.63,0.72,18.21
15.69,9.36,61.54
16.33,7.82,64.58
16.22,7.49,64.2
0.5,0.19,1.99
4.8,1.73,19.13
4.89,1.68,19.49
4.76,1.56,18.97
4.79,1.48,19.1
4.71,1.38,18.8
4.68,1.29,18.71
4.59,1.19,18.37
4.62,1.12,18.49
4.61,1.04,18.44
4.53,0.95,18.13
4.57,0.88,18.31
4.57,0.8,18.33
16.14,7.86,65.06
16.91,7.08,68.43
4.64,1.78,18.83
4.75,1.74,19.27
4.81,1.68,19.55
4.61,1.53,18.75
4.68,1.48,19.05
4.57,1.36,18.62
4.53,1.27,18.45
4.52,1.19,18.4
4.52,1.12,18.43
4.43,1.02,18.05
4.51,0.96,18.42
4.44,0.87,18.14
4.5,0.8,18.36
4.66,1.82,19.29
4.64,1.73,19.19
4.67,1.66,19.33
4.6,1.56,19.06
4.52,1.45,18.74
4.38,1.33,18.16
4.49,1.29,18.66
4.37,1.18,18.17
4.43,1.11,18.43
4.31,1.01,17.94
4.36,0.94,18.16
4.35,0.87,18.09
4.54,1.89,19.14
4.56,1.81,19.23
4.55,1.73,19.22
4.55,1.65,19.22
4.5,1.55,19.01
4.34,1.42,18.37
4.35,1.34,18.42
4.41,1.28,18.67
4.3,1.18,18.23
4.33,1.11,18.36
4.41,1.05,18.69
4.32,0.95,18.32
4.26,0.86,18.09
14.84,8.95,63.08
15.6,7.17,66.91
4.48,1.89,19.25
4.48,1.82,19.29
4.46,1.72,19.18
4.45,1.64,19.16
4.44,1.56,19.16
4.22,1.4,18.23
4.28,1.35,18.48
4.21,1.25,18.18
4.29,1.2,18.55
4.25,1.11,18.39
4.15,1.01,17.96
4.2,0.94,18.19
4.2,0.87,18.17
14.68,9.02,63.68
4.43,1.91,19.41
4.39,1.81,19.28
4.38,1.72,19.24
4.4,1.65,19.32
4.35,1.55,19.13
4.15,1.41,18.28
4.17,1.34,18.37
4.17,1.26,18.37
4.15,1.18,18.32
4.12,1.09,18.18
4.11,1.02,18.16
4.13,0.94,18.24
14.38,8.74,63.77
3.75,1.71,16.75
4.34,1.9,19.41
4.32,1.82,19.37
4.24,1.7,19.03
4.28,1.64,19.22
4.2,1.53,18.85
4.07,1.4,18.29
4.05,1.32,18.22
4.05,1.24,18.2
4.09,1.18,18.4
4.08,1.1,18.39
4.07,1.02,18.34
4.07,0.95,18.35
4.04,0.86,18.23
14.11,8.73,63.87
4.27,1.99,19.48
4.21,1.88,19.22
4.21,1.8,19.25
4.16,1.7,19.05
4.16,1.62,19.05
4.1,1.52,18.81
4.05,1.42,18.57
3.99,1.33,18.3
3.96,1.24,18.17
3.99,1.17,18.33
3.97,1.09,18.25
3.99,1.02,18.33
3.98,0.94,18.3
13.73,8.4,63.54
4.2,2.08,19.57
4.14,1.97,19.29
4.19,1.91,19.57
4.17,1.82,19.48
4.04,1.68,18.88
4.04,1.61,18.9
4.04,1.53,18.92
4.04,1.45,18.91
3.96,1.34,18.55
3.88,1.24,18.19
3.93,1.18,18.43
3.83,1.07,17.98
3.92,1.02,18.39
3.87,0.94,18.18
3.79,1.99,18.02
4.06,2.05,19.33
4.04,1.96,19.25
4.09,1.9,19.51
3.95,1.76,18.87
3.95,1.68,18.86
3.95,1.6,18.85
3.93,1.51,18.8
3.89,1.42,18.63
3.82,1.32,18.29
3.81,1.24,18.27
3.87,1.18,18.53
3.82,1.09,18.34
3.83,1.02,18.35
3.79,0.93,18.17
3.91,2.09,19.02
3.97,2.04,19.29
3.96,1.96,19.27
3.86,1.83,18.82
3.87,1.76,18.87
3.85,1.67,18.78
3.87,1.6,18.88
3.85,1.51,18.82
3.84,1.43,18.77
3.79,1.34,18.52
3.75,1.25,18.34
3.75,1.17,18.38
3.89,1.13,19.04
3.75,1.02,18.39
3.71,0.93,18.2
3.75,2.43,18.54
2.72,1.71,13.48
3.52,2.14,17.46
3.71,2.18,18.42
3.81,2.16,18.9
3.87,2.11,19.24
3.78,1.98,18.8
3.81,1.92,18.95
3.77,1.83,18.79
3.77,1.74,18.77
3.78,1.67,18.84
3.76,1.58,18.75
3.78,1.52,18.87
3.74,1.42,18.71
3.7,1.33,18.52
3.62,1.23,18.14
3.71,1.18,18.59
3.67,1.09,18.4
3.75,1.04,18.8
3.63,0.93,18.21
3.69,2.44,18.64
3.68,2.36,18.61
3.67,2.28,18.62
3.67,2.2,18.63
3.64,2.11,18.5
3.69,2.06,18.78
3.78,2.03,19.24
3.67,1.89,18.7
3.68,1.82,18.75
3.71,1.75,18.92
3.7,1.67,18.88
3.65,1.57,18.65
3.68,1.51,18.78
3.67,1.43,18.77
3.67,1.35,18.79
3.57,1.24,18.27
3.6,1.17,18.44
3.6,1.09,18.44
3.58,1.01,18.34
3.56,0.93,18.24
3.51,2.45,18.13
3.56,2.41,18.43
3.56,2.33,18.45
